Company,Website,Role,Location,Work Model,Status,Date Added,Date Applied,Salary Range,Contact,Job URL,Notes
Upway,https://upway.co/,Software Engineer,"Paris, France",On-site,Researched,2026-02-15,,,,,,"Sustainability. Refurbished e-bikes marketplace. TypeScript/NestJS/React/PostgreSQL/GCP. Series C $60M (Sequoia). Fit: 3/5. Rep: C — No data, on-site only"
MiLaboratories,https://milaboratories.com/,,"Bilbao, Spain",On-site,Researched,2026-02-15,,,,,,"Health Tech. Genomic data platform (OS for Biology). TypeScript/Rust/Go. Series A $10M. Moderna/BMS clients. Fit: 3/5. Rep: ? — 21 people, well-funded"
Linear,https://linear.app/careers,Senior/Staff Frontend Engineer,"Remote (EU timezones)",Remote,Researched,2026-02-15,,,,,,"Developer Tools. Atlassian killer. TypeScript/React/Node. Series C $82M, $1.25B valuation, $100M revenue. Fit: 3/5. Rep: ? — Exceptional product quality"
ustwo,https://ustwo.com/join-us/,,"London, UK + Malmo, Lisbon",Hybrid,Researched,2026-02-15,,,,,,"Creative Agency. Monument Valley creators. React/web/mobile. 200+ team. Glassdoor 4.3. Fit: 4/5. Rep: B+ — 88% recommend, creative freedom"
Bakken & Baeck,https://bakkenbaeck.com/join,,"Oslo, Amsterdam, London, Barcelona, Bonn",Hybrid,Researched,2026-02-15,,,,,,"Creative Agency. Product studio. React/web/mobile/ML. 60 team. Glassdoor 4.7, 100% recommend, 5.0 WLB. Fit: 4/5. Rep: A — Best-rated agency in Europe"
14islands,https://www.14islands.com/,,"Stockholm, Sweden + Reykjavik, Iceland",Hybrid,Researched,2026-02-15,,,,,,"Creative Agency. Awwwards winner. React/Three.js/WebGL. Anti-burnout culture. Nordic values. Fit: 4/5. Rep: ? — Founded against toxic culture"
Demodern,https://demodern.com/,,"Cologne, Germany",Hybrid,Researched,2026-02-15,,,,,,"Creative Agency. AR/VR/AI/events/digital retail. 75+ team. 12+ nationalities. 15+ years. Fit: 3/5. Rep: ? — Stable and established"
Stink Studios,https://www.stinkstudios.com/careers,,"London, Paris, Berlin + others",Hybrid,Researched,2026-02-15,,,,,,"Creative Agency. Spotify/Google/Nike clients. 100+ staff. 7 cities. Fit: 3/5. Rep: ? — Tier-1 brand portfolio"
Brainhub,https://brainhub.eu/,,"Gliwice, Poland",Remote,Researched,2026-02-15,,,,,,"Dev Agency. TypeScript/React/Node/Next.js/AWS. PwC/NatGeo/Credit Suisse clients. Glassdoor 4.6, 100% recommend. Fit: 4/5. Rep: A — 4.9 WLB, 4.7 culture"
Significa,https://significa.co/,,"Porto, Portugal",Hybrid,Researched,2026-02-15,,,,,,"Creative Agency. Design+dev. React/Next.js. ~30 team. Award-winning. Porto. Fit: 3/5. Rep: B — Culture praised, some comms gaps"
